Text,Type
christian bale,Actor
murderous wall street executive,Plot
patrick bateman,Character_Name
adaptation of the brett easton ellis novel,Origin
drew barrymore,Actor
a couple who are trying to keep their romance alive although one is in new york and the other is in california,Plot
patrick swayze charlie sheen,Actor
lea thompson,Actor
attempt to fight off invading russians,Plot
japanese drama,Genre
guy who finds out he has a terminal lung disease,Plot
children,Genre
a pig befriended and saved by a kindly spider,Plot
james cameron,Director
arnold schwarzenegger,Actor
a protective robot from the future,Plot
dorothy,Character_Name
transported to a magical land and must find the wizard to get home,Plot
science fiction,Genre
klaatu,Character_Name
gort,Character_Name
give humanity an ultimatum,Plot
1976,Year
clint eastwood,Actor
a farmer who joins a confederate guerrilla unit and goes on the run from union soldiers,Plot
a film adaptation,Relationship
george abbott broadway musical,Origin
a washington senators fan who makes a pact with the devil to help his baseball team win the league pennant,Plot
famous historic figure known for his peaceful teachings,Plot
emily bronte s novel,Origin
features a moody central character,Plot
heathcliff,Character_Name
two olympic runners from the 1920 with different religious backgrounds,Plot
sci fi,Genre
stanley kubrick,Director
1960 s,Year
drama sport,Genre
about a failing baseball manager that in last ditch attempt uses computer generated statistics to put together an unbeatable team,Plot
talking pig who is adopted by dogs,Plot
a man who ties thousands of balloons to his home and sets out to fulfill his lifelong dream to see the wilds of south america,Plot
stanley kubric,Director
1968,Year
sci fi epic,Genre
a trek to space,Plot
nicholas cage,Actor
a cursed motorcycle riding marvel comics super hero,Plot
1976,Year
clint eastwood,Actor
sandra locke,Actor
revolved around a farmer becoming a confederate guerrilla,Plot
winter holiday,Genre
a little blond boy with glasses and wants a bebe gun,Plot
george c scott,Actor
ebenezer scrooge,Actor
sees 3 ghosts in a dream one night in december,Plot
a human girl and vampire boy have a hybrid baby girl,Plot
1959,Year
billy wilder,Director
french,Genre
fanfare d amour,Relationship
2010,Year
romantic comedy,Genre
garry marshall,Director
jessica alba,Actor
four people commit an armed robbery and then turn on each other to try to take all of the money for themselves,Plot
bruce willis,Actor
a young boy sees dead people everywhere,Plot
an alien who befriends a kid named,Plot
elliott,Character_Name
and has to go back home,Plot
comedy romance,Genre
adam sandler,Actor
plastic surgeon that must rely on his assistant to help him cover up a lie,Plot
romantic,Genre
1987,Year
about a love story between buttercup and westley,Plot
2011,Year
3 d computer animated family film,Genre
william shakespeare s most famous play,Origin
james mcavoy,Actor
emily blunt,Actor
harrison ford,Actor
an archeologist and adventurer on a race against the nazis,Plot
1981,Year
steven spielberg,Director
a poor boy who gets a job working for his rich uncle and ends up falling in love with two women,Plot
1993,Year
about a mute pianist and her daughter taking place in the mid 19 century,Plot
musical,Genre
a poor boy who becomes a thief and is saved by what turns out to be his grandfather,Plot
classic,Genre
gregory peck,Actor
a story about a man who gets entangled in a bitter land feud,Plot
1998,Year
tom hanks,Actor
meg ryan,Actor
a man and a woman that fall in love over the internet,Plot
ecological documentary drama,Genre
showcases the disappearing marvels of the sub aquatic world,Plot
1982,Year
science fiction film,Genre
ridley scott,Director
kristen wiig,Actor
a group of strangers who go through a crazy journey to help their friend getting married,Plot
maya rudolph,Actor
1939,Year
fantasy film,Genre
scarecrow,Character_Name
tin man,Character_Name
cowardly lion,Character_Name
musical,Genre
a creation brought to life,Plot
based on a classic novel,Origin
a newly married women and the ghost of her husband s ex wife,Plot
1996,Year
sports,Genre
a sports agent who shouts the memorable line,Plot
show me the money,Quote
city state on the mediterranean sea near france and italy,Plot
2011,Year
fast cars,Plot
justin lin,Director
vin diesel,Actor
family film,Genre
matt damon,Actor
a single dad who decides to buy his family a zoo,Plot
the story of a small time grifter and nightclub tout takes advantage of some fortuitous circumstances and tries to become a big time player as a wrestling promoter,Plot
kenau reeves,Actor
he wore the long coat and slowed down time,Plot
blue color creatures live on the moon pandora,Plot
humphrey bogart,Actor
katherine hepburn,Actor
ride down a river together on the boat of the title,Plot
1993,Year
war film,Genre
liam neeson,Actor
steven spielberg,Director
scorsesi,Director
gangster,Genre
robert deniro ray liotta joe pesci,Actor
paul sorvino,Actor
paul rudd,Actor
happy go lucky honest person who interacts with all of his sisters and ca n t seem to catch a break in his life,Plot
adam sandler,Actor
he goes to jail and puts a football team together,Plot
2011,Year
science fiction horror,Genre
a group of scientists who discover an alien in antarctica,Plot
quentin tarantino,Director
uma thurman,Actor
accidentally overdoses on illegal drugs,Plot
burt reynolds,Actor
inspired,Origin
squeal like,Origin
pig,Origin
bing crosby,Actor
danny kaye,Actor
takes place at an inn in vermont,Plot
robin williams,Actor
a board game coming to life,Plot
retelling of a famous,Plot
lewis carroll,Origin
story,Plot
a large shark that goes against a crew that needs a bigger boat,Plot
johnny depp,Actor
this man takes a pill that increases his intelligence but it wears on his life,Plot
robert deniro,Actor
tragic story of the boxer,Plot
jake lamotta,Character_Name
1973,Year
1930,Year
robert redford,Actor
paul newman,Actor
professional con men,Plot
2012,Year
american horror,Genre
a shark that terrorizes amity island during one summer forcing the sheriff who hates water to hire a boat to track and kill it,Plot
sequel,Relationship
liam neeson,Actor
rescuing his kidnapped wife and daughter,Plot
2010,Year
american comedy,Genre
will forte,Actor
parodies the famous tv series macgyver,Plot
brilliant telling,Opinion
story of wolfgang amadeus mozart,Plot
f murray abraham tom hulce,Actor
elizabeth berridge,Actor
1981,Year
steven spielberg,Director
first installment of the,Relationship
indianna jones,Character_Name
series,Relationship
a man who gets involved in an underground club,Plot
edward norton,Actor
has an alter ego,Plot
brad pitt,Actor
noam chomsky,Actor
documentary,Genre
on both sides of the abortion debate,Plot
1999,Year
m night shyamalan,Director
bruce willis,Actor
a child psychologist,Plot
mermaid with red hair who falls in love with a human,Plot
the autobots learn of a cybertronian spacecraft and race against the decepticons to reach it and to learn its secrets,Plot
2011,Year
sequel,Relationship
woody,Character_Name
buzz,Character_Name
head off to a new home at the daycare center,Plot
about a family who lives in st louis on the brink of the 1904 worlds fair,Plot
dramatic comedy,Genre
a guy who provides a safe place for his co workers and boss to have affairs,Plot
action thriller,Genre
2010,Year
george clooney,Actor
a contract killer,Plot
anton corbijn,Director
1931,Year
police being unable to catch a child murder so other criminals join in on the hunt,Plot
dustin hoffman,Actor
a young man who dates the daughter and has an affair with the mother,Plot
2010,Year
jackie chan,Actor
a former cia spy tasked with looking after his girlfriend s three children,Plot
1965,Year
american musical,Genre
julie andrews,Actor
considered a classic and one of the greatest movies ever made,Opinion
barbara stanwyck,Actor
a wicked scheming woman duping an insurance company in cahoots with,Plot
fred macmurray,Actor
classic,Genre
1944,Year
film noir,Genre
billy wilder,Director
a man s wife dies and he attaches balloons to his house to get to south america,Plot
scary,Genre
teenagers that have horrible dreams when they fall asleep and they do not know if they are real,Plot
tarantino,Director
array of criminal partners all designated not by name by color,Plot
1998,Year
american war film,Genre
during the invasion of normandy in world war ii,Plot
tom hanks,Actor
matt damon,Actor
1945,Year
young woman comes of age in the 1900 s in a brooklyn tenement,Plot
han solo,Character_Name
luke skywalker,Character_Name
astro boy,Character_Name
bruce lee,Actor
animated,Genre
nominated,Award
best picture,Award
belle,Character_Name
arnold schwarzenegger,Actor
who comes back in time to kill sarah conner,Plot
linda hamilton,Actor
a rookie and a veteran hunt a serial killer who uses the seven deadly sins as his modus operandi,Plot
a live performance from the cast of a famous television show,Plot
oscar winning,Award
colin firth,Actor
king george vi,Character_Name
details the kings ordeal to conquer his incessant stammer,Plot
a quietly troubled young man returns home for his mother s funeral after being estranged from his family for a decade,Plot
2004,Year
comedy,Genre
zach braff,Actor
natalie portman,Actor
super hero is created in 1941 and ends up frozen for over 65 years,Plot
nicholas cage,Actor
trying to find merlin s descendant and prevent the world from being destroyed by the evil witch,Plot
alice krige,Actor
1946,Year
hit men killing an unresisting victim and investigator reardon uncovers his past involvement with beautiful deadly,Plot
kitty collins,Character_Name
paul mazursky,Director
jill clayburgh,Actor
best actress oscar nomination,Award
a criminal mastermind use a trio of orphan girls as pawns for a grand scheme in which he finds their love is profoundly changing him for the better,Plot
epic,Opinion
war,Genre
mel gibson,Actor
the story of william wallace and his struggle for freedom,Plot
2011,Year
animated,Genre
a treasure hunt for a sunken ship,Plot
steven spielberg,Director
1956,Year
science fiction,Genre
aliens in a small california town who inhabit citizens bodies,Plot
1984,Year
horror,Genre
johnny depp,Actor
college life and fraternity,Plot
george cukor,Director
classic remarriage film,Genre
katherine hepburn cary grant and jimmy stewart,Actor
quentin tarantino,Director
war film,Genre
alternate history pertaining to the events of world war ii,Plot
post apocalyptic,Genre
gary oldman mila kunis,Actor
denzel washington,Actor
action comedy documentary,Genre
ridiculous stunts and pranks for laughs mostly at the expense of another person s pain,Plot
bilbo baggins gandalf the gray,Character_Name
thorin,Character_Name
company travel across the land to defeat the dragon,Plot
smaug,Character_Name
2012,Year
peter jackson,Director
a group of friends relive a fateful night to ensure,Plot
jacob,Character_Name
is born,Plot
2012,Year
science fiction,Genre
a spaceship crew following a star map discovered among the artifacts of several ancient earth cultures when they stumble upon a distant world and discover a threat that could cause the extinction of the human race,Plot
ryan reynolds,Actor
superhero,Plot
dc comic book series,Origin
classic black and white horror,Genre
cult classic,Genre
1941,Year
gary cooper,Actor
walter brennan,Actor
a hillbilly sharpshooter who says he s a pacifist but becomes a war hero,Plot
jason bateman,Actor
jason sudeikis,Actor
trying to get rid of their employers,Plot
action,Genre
sly stallone,Actor
leads a group of tough guys for hire,Plot
an alien,Plot
keanu reeves,Actor
comes to earth to warn of destruction,Plot
animated,Genre
an elderly man concerned with the rapid changes to his neighborhood,Plot
a son who tries to find his real father and fights in made up space like arenas,Plot
stephen spielberg,Director
a dinosaur themed adventure park,Plot
based on a book,Origin
classic,Genre
70 s,Year
tearjerker,Genre
the story of cancer stricken pro football player,Plot
brian piccolo,Character_Name
robert deniro,Actor
an ex con out for revenge against,Plot
nick nolte,Actor
classic,Genre
1962,Year
frankie madison,Character_Name
leaves prison expecting a share from his ex partner only to find that prohibition bootlegging did n t prepare him for big business,Plot
three guys who hit each other to make people laugh,Plot
ben affleck,Actor
bank robber who develops feelings for the manager of the bank him and his crew robbed,Plot
1991,Year
science action film,Genre
arnold schwarzenegger,Actor
a cyborg sent back to the future to save a little boy who will be a great leader in the future,Plot
shows the weather with food instead of rain,Plot
a real life scandal that involved a game show,Plot
1950,Year
clint eastwood,Actor
do you feel lucky punk,Quote
2003,Year
american biographical sports drama,Genre
tobey maguire,Actor
a jockey and chronicles the career of an undersized race horse,Plot
toby maquire,Actor
jockey of one of the greatest race horses that ever lived,Plot
atlanta burns from the union onslaught,Plot
scarlet,Character_Name
faces tremendous hardships,Plot
classic,Opinion
civil war,Genre
second movie,Relationship
series about the jedi,Relationship
1969,Year
holiday,Genre
classic,Opinion
jimmy durante,Actor
paul frees,Actor
santa,Character_Name
ben stiller,Actor
where they steal the vintage car made of gold from a highrise apartment,Plot
harrison ford,Actor
most exciting,Opinion
archaeologist,Plot
1966,Year
british war film,Genre
german fighter pilot on the western front during world war i,Plot
james stewart,Actor
late thirties,Year
2012,Year
science fiction,Genre
the 5 th in a series,Relationship
based on the capcom video games of the same name,Origin
epic,Opinion
western,Genre
kevin costner,Director
dustin hoffman,Actor
unemployed actor that dressed up as a woman in order to get a role on a soap opera,Plot
steve carell,Actor
perfect guest,Plot
paul rudd,Actor
monthly event with his fellow executives,Plot
neo noir film,Genre
john cusak,Actor
people who make a living committing various cons,Plot
mila kunis,Actor
ashton kutcher,Actor
relationship of two friends or are they more,Plot
2002,Year
brazilian,Genre
television show spin off called city of men in 2003,Relationship
colin firth,Actor
british monarch with a serious inability to speak,Plot
a man who travels around small people that is based on a story,Plot
victor hugo s tragic novel,Origin
hugh jackman,Actor
ann hathaway,Actor
animated fairy,Genre
belle,Character_Name
tom hanks,Actor
the bonds of loyalty are tested when a hitman s son witnesses what his father does for a living,Plot
1977,Year
classic italian horror,Genre
dario argento,Director
involves a girl who is attending a dance school,Plot
to thy known self be true,Quote
2009,Year
james cameron,Director
adventure,Genre
burgess meredith,Actor
ernie pyle,Character_Name
who joins company c 18 th infantry as this american army unit fights its way across north africa in world war ii,Plot
chaplin,Actor
comedy,Genre
he makes his shoes dance and later eats the shoes,Plot
jack nicholson,Actor
scary,Genre
takes place in a hotel that is vacated for the winter,Plot
1968,Year
musical,Genre
fred astaire,Actor
petula clark,Actor
as father and daughter,Plot
science fiction,Genre
arnold schwarzenegger,Actor
james cameron,Director
originally a play by shakespeare,Origin
laurence fishburne,Actor
classic psychological thriller,Genre
a woman who schemes to have her husband killed so she can collect the insurance money,Plot
robert de niro,Actor
cult film,Genre
terry gilliam,Director
cuba gooding jr,Actor
about african american pilots during the wwii era,Plot
2010,Year
clint eastwood,Director
matt damon,Actor
psychic that can communicate with the dead,Plot
classic,Opinion
jon favreau,Director
daniel craig,Actor
dark and sorrowful time when a pretty happy child wearing red we see near the end laying limp in a wheelbarrow dead,Plot
a family who heads to an isolated hotel for the winter where an evil and spiritual presence influences the father into violence while his psychic son sees horrific forebodings from the past and of the future,Plot
a team of 4 differently unique men who drive around in a van and help to fight crime,Plot
four unemployed college researchers start a paranormal business,Plot
horror classic,Genre
took place in a motel and had a secretary theif murdered,Plot
arnold schwarzenegger,Actor
team of soldiers dropped off in the jungle and forced to battle a mysterious alien creature,Plot
1998,Year
comedy,Genre
joel and ethan coen,Director
jeff bridges,Actor
dude,Character_Name
female buddy movie,Genre
brad pitt,Actor
car crashing into the grand canyon,Plot
humfrey bogart,Actor
the love story of all time,Opinion
jay,Character_Name
silent bob,Character_Name
cult classic,Opinion
animated,Genre
a elderly man and his flying house,Plot
the fox in the dessert,Plot
frank capra,Director
most famous,Opinion
hit girl big daddy,Character_Name
red mist,Character_Name
french,Genre
masterpiece,Opinion
about soldiers in a prison camp during wwi plotting an escape,Plot
futuristic series,Genre
george lucas,Director
forces of good and evil,Plot
2011,Year
james cameron,Director
a group of humanoids live in harmony with nature and worship a mother goddess call eywa,Plot
classic french film,Genre
world war i addresses social class as well as war by focussing on the relationship between a german and a frenchman,Plot
mel gibson,Actor
scottish tribesman trying to defend his country from the british,Plot
five men who follow up on the massacre at the 1972 olympics,Plot
spike lee,Director
takes place in a section of brooklyn everyone s hate and bigotry grows and builds until it explodes into violence,Plot
adam sandler,Actor
chris rock,Actor
friends that reunite after the death of a former coach,Plot
60 s,Year
musical,Genre
overweight girl who tries out for a television show,Plot
classic,Opinion
love story,Genre
robert redford,Actor
barbra streisand,Actor
four women find a relationship advice,Plot
book,Genre
children s movie,Genre
a lion cub who runs from home after his father is killed,Plot
the old man telling his son very embellished stories of his life called,Plot
comedy,Genre
michael,Actor
classic,Opinion
simba,Character_Name
who must face the evil scar in order to claim his right to the throne,Plot
comedy,Genre
mark wahlberg,Actor
his relationship with a stuffed animal that comes to life,Plot
neil burger,Director
amazing,Opinion
a magician who dazzles the hearts and minds of those around him,Plot
sci fi,Genre
the story of,Plot
luke skywalker,Character_Name
who fights against the evil empire and its leader darth vader,Plot
animated,Genre
super villain that adopts a trio of girls which a results in a change in his heart,Plot
dark and stylized,Opinion
comic book based,Origin
bruce willis,Actor
mickey rourke,Actor
2005,Year
macaulay culkin,Actor
a young boy his parents forgot about on a family vacation,Plot
kevin cosner,Actor
hears a voice telling him to build a baseball field in his corn,Plot
bear who is best friends with a pig an owl and a rabbit,Plot
george c scott,Actor
2011,Year
body swap,Plot
comedy,Genre
ryan renolds,Actor
jason bateman,Actor
richard kimble,Actor
for the one armed man who murdered his wife,Plot
2011,Year
matt damon,Actor
politician battling forces greater than himself in order to romance a ballerina,Plot
akira kurosawa,Director
seven samurai,Origin
western,Genre
steve mcqueen,Actor
yul brynner,Actor
charlton heston,Actor
blasts off from earth and lands on an unrecognizable planet where humans are mute and apes rule,Plot
spielberg,Director
amusement park that s a blast from the past,Plot
1934,Year
academy awards,Award
best picture best director best actor and best actress,Award
mel brooks,Director
spoof,Genre
a story set in ancient rome a song and dance number about the spanish inquisition and hitler on ice,Plot
sequel,Relationship
classic,Opinion
francis ford coppola,Director
origins of,Plot
don vito corleone,Character_Name
from italy through his rise to power,Plot
stephen spielberg,Director
powerful,Opinion
one man saving jews from the nazis,Plot
ralph fiennes,Actor
liam neeson,Actor
classic,Genre
a couple who act as partners in crime,Plot
bruce willis,Actor
time travel,Genre
movie,Plot
teen comedy,Genre
all shot on cell phones and video cameras,Plot
about boys trying to lose their virginity,Plot
2004,Year
leonardo dicaprio,Actor
1970,Year
horror,Genre
a girl possessed by the devil and the priest who seeks to free her,Plot
kristen stewart,Actor
thrilling,Opinion
popular,Opinion
children s bedtime story,Origin
matt damon,Actor
amnesiac assassin,Plot
first robert ludlum books,Origin
documentary,Genre
1920 s,Year
the daily life of an eskimo,Plot
1922,Year
silent documentary,Genre
a family s struggles to live in the canadian arctic,Plot
disney,Genre
screams used to power a world filled with only nonhumans,Plot
1940,Year
henry fonda,Actor
angelina jolie,Actor
johnny depp,Actor
french psychological thriller,Genre
a pair of men transporting nitroglycerin by truck,Plot
musician with outfit changes,Plot
a,Plot
desert epic,Genre
set in the middle east,Plot
many awards,Award
james cameron,Director
classic,Opinion
a ship that hits an iceberg and sinks,Plot
theseus,Character_Name
is chosen by,Plot
zeus,Character_Name
lead the fight against,Plot
king hyperion,Character_Name
2012,Year
famous poet edgar allen poe,Plot
one guy is a cop but he really is in the mafia and the real cop is undercover in the mafia,Plot
1989,Year
comedy drama crime,Genre
tom hanks,Actor
beasley the dog,Actor
james cameron,Director
classic,Opinion
leonardo di caprio,Actor
kate winslet,Actor
a ship that crashes into an iceberg and sinks,Plot
1946,Year
classic,Opinion
james stewart,Actor
a businessman who learns what life would be like if he never lived,Plot
four time oscar winning,Award
2007,Year
coen brothers,Director
texas,Plot
tommy lee jones,Actor
as a retiring sheriff chasing down a guy who came across a bag with 2 million dollars and the hitman chasing him,Plot
second movie in this pirate series,Relationship
johnny depp,Actor
1979,Year
dennis christopher,Actor
a teenager obsessed with the italian cycling team,Plot
2011,Year
about the puppets that jim henson with kermit and miss piggy,Plot
wes craven,Director
freddy krueger,Character_Name
1984,Year
horror,Genre
classic,Opinion
science fiction adventure,Genre
steven spielberg,Director
classic,Opinion
italian,Genre
a man who loses his mode of transportation to work and must find it or risk the starvation of his family,Plot
three friends try to kill each others terrible employers without getting caught,Plot
cannibalistic family that lives deep in the rural areas of texas,Plot
2010,Year
nicolas cage,Actor
a sorcerer and apprentice of merlin,Plot
when a young woman realizes her brother is about to marry the girl who bullied her in high school she sets out to expose the fianc e s true colors,Plot
2010,Year
comedy,Genre
kristen bell,Actor
mel brooks,Director
comedy,Genre
parodies star wars,Plot
john candy,Actor
bill pullman,Actor
intergalactic heroes,Plot
martin scorsese,Director
autobiography,Genre
henry hill and his life in the mafia,Plot
ray liotta robert deniro,Actor
joe pesci,Actor
1992,Year
evil dead trilogy,Origin
main character is trapped in the middle ages where he must battle a host of the undead in order to return to the present,Plot
classic,Opinion
action,Genre
warren beatty,Actor
faye dunaway,Actor
an infamous american outlaw couple,Plot
dickens,Origin
maturing of a boy named pip,Plot
musical,Genre
cher,Actor
christina aguilar,Actor
as dancers for a chorus club,Plot
2010,Year
christina aguilera,Actor
trying to make it as a singer in dancer in a club,Plot
cher,Actor
1979,Year
vietnam war,Plot
marlon brando martin sheen,Actor
robert duvall,Actor
1950 s,Year
musical,Genre
took place in,Plot
mississippi and had a mixed race couple in love,Plot
2012,Year
three high school friends with telekinesis,Plot
1990,Year
american crime,Genre
martin scorsese,Director
the 1986 non fiction book wiseguy by nicholas pileggi,Origin
buddy comedy movie,Genre
sequel,Relationship
bradley cooper,Actor
one of the guys gets a face tattoo,Plot
sci fi action,Genre
time traveling back in 1969 to stop an alien from assassinating his friend agent k and changing history,Plot
cohen,Director
dark,Opinion
comedy,Genre
alan ladd,Actor
a gunslinger that tires to settle down but is forced into action by a range war,Plot
oda mae brown,Character_Name
whoopi goldberg,Actor
patrick swayze,Actor
1990,Year
classic,Opinion
1990,Year
comedy,Genre
a group of friends who despise their office jobs and look to escape,Plot
an exclusive golf course that features,Plot
bill murray,Actor
battle with a gopher,Plot
a great white shark that terrorizes a small new england town,Plot
rob reiner,Director
hilarious,Opinion
mockumentary,Genre
a fictional rock band and their ever dying drummers,Plot
judy garland,Actor
a mythical land and a trip on a yellow brick road,Plot
johan hill,Actor
try to get rocker,Plot
aldous snow,Character_Name
to a music venue to play a concert,Plot
1959,Year
alfred hitchcock,Director
business executive running from the government because they believe he is a spy,Plot
trio of famous classic slapstick comedy characters,Plot
1958,Year
american romantic comedy,Genre
marilyn monroe,Actor
billy wilder,Director
2009,Year
james cameron,Director
futuristic humans taking on the attributes of the na vi inhabitants of pandora,Plot
futuristic science fiction,Genre
1980 s,Year
ridley scott,Director
harrison ford,Actor
1962,Year
based on the famous novel by author harper lee,Origin
gregory peck,Actor
leonard dicaprio,Actor
mark ruffalo,Actor
detective trying to solve the mystery of a missing mental patient,Plot
2012,Year
romantic comedy drama,Genre
meryl streep tommy lee jones,Actor
steve carell,Actor
1960,Year
american western,Genre
tom hanks,Actor
all female baseball team s manager,Plot
1992,Year
penny marshall,Director
shakespeare s play,Origin
doomed star crossed lovers,Plot
mel brooks,Director
classic black and white comedy,Genre
grandson of the great scientist returns to his family estate,Plot
a young boy fighting cancer writes to heaven and touches lives in his neighborhood and community and inspires hope among everyone he comes in contact with,Plot
2010,Year
spiritual,Genre
2012,Year
sci fi,Genre
bruce willis,Actor
joseph gordon levitt,Actor
criminal time travelers,Plot
1980 s,Year
michael j fox,Actor
must fix his parents up on a date to ensure his future birth,Plot
dramatic,Genre
monique,Actor
oscar award,Award
portrayal of an abusive mother to a grossly obese and illiterate teenage girl,Plot
a girl who loses her arm during a shark attack while surfing with her friends,Plot
2010,Year
jake gyllenhaal,Actor
back to the 1990 s and pfizer s release of viagra,Plot
ingmar bergman,Director
a knight who challenges death to a game of chess,Plot
classic,Opinion
jimmy stewart,Actor
a member of congress and gives an exhausting filibuster speech,Plot
charlie chaplin,Actor
silent,Genre
the little champ and his hard times during the great depression,Plot
michael j fox,Actor
send him into the past in a time machine made out of a car where he interferes with his parents falling in love,Plot
of the teenage vampire film series,Relationship
stephenie meyer novels,Origin
vince vaughn,Actor
discovers his best friend s wife is having an affair,Plot
james bond,Character_Name
sean connery,Actor
to win,Award
oscar,Award
1998,Year
war film,Genre
tom hanks,Actor
a us army major assigned a dozen convicted murderers to train and lead them into a mass assassination mission of german officers in world war ii,Plot
shakespearean,Origin
elizabeth taylor,Actor
richard burton,Actor
bickering couple,Plot
hakuna matata,Soundtrack
can you feel the love tonight,Soundtrack
bio,Genre
about the singer that sings the song i kissed a girl,Plot
based on the true story,Origin
an underdog boxer and his journey in philadelphia,Plot
1940,Plot
features an iconic moment where two of its leading characters kiss in the rolling surf on a honolulu beach,Plot
frank sinatra,Actor
summer camp,Plot
slasher,Genre
ends with,Plot
angela,Character_Name
felissa rose,Actor
revealing her shocking secret,Plot
m night shamalan,Director
bruce wilson,Actor
child psychiatrist,Plot
haley joel osment,Actor
troubled school boy,Plot
julie andrews,Actor
flew threw the air,Plot
won an,Plot
academy award,Award
magical person,Plot
1959,Year
alfred hitchcock,Director
classic,Opinion
iconic,Opinion
roger o thornhill,Character_Name
cary grant,Actor
mel gibson,Actor
epic,Genre
a scotsman who fights for his country s independence from england,Plot
adam sandler,Actor
adam sandberg,Actor
a best man,Plot
tells the story of a small waste collecting robot who inadvertently embarks on a space journey that will ultimately decide the fate of mankind,Plot
fifth in the series,Relationship
horror,Genre
someone would see a group of people die and then they would all die,Plot
comedy,Genre
three men plotting to kill their terrible employers while solving a murder case at the same time,Plot
story of a secret military project that endangers neo tokyo when it turns a biker gang member into a rampaging psionic psychopath,Plot
a few friends who have a raucous bachelor party in asia and have to piece their memories back together the day after,Plot
john woo,Director
ends in a massive shootout in a hospital,Plot
80 s,Year
crime film,Genre
elliot ness,Character_Name
al capone,Character_Name
kevin costner,Actor
robert de niro,Actor
disney animation,Genre
78 year old carl sets out to fulfill his lifelong dream to see the wilds of south america by tying thousands of balloons to his home,Plot
2012,Year
takes place five years after the disappearance of katie and hunter surrounding strange happenings plaguing a suburban family,Plot
1957,Year
disney,Genre
stray yellow dog and a boy in post civil war texas,Plot
2010,Year
romantic comedy,Genre
forest whitaker,Actor
strict father of a son who is ready to marry into a crazy family,Plot
tarantino,Director
uma thurman,Actor
ninja expert looking for revenge on the ones that killed her family,Plot
story of the life and career of the legendary popular music pianist,Plot
ray charles,Actor
third movie,Relationship
woodie,Character_Name
the doll,Plot
buzzlightyear,Character_Name
disney,Genre
zach snyder,Director
2010,Year
animated,Genre
drama,Genre
colin firth,Actor
a king with a speech impediment,Plot
set in a future where people stop aging at 25 and money is no longer the main currency,Plot
guy who is into animals,Plot
eddy murphy,Actor
remake,Relationship
classic,Opinion
a film crew goes to an exotic location only to discover a giant gorilla,Plot
classic,Opinion
boxing,Genre
sylvester stallone,Actor
classic,Genre
60 s,Year
jack lemmon,Actor
shirley maclaine,Actor
two people who share a new york city dwelling,Plot
story of two children in 1917 who take a photograph believed by some to be the first scientific evidence of the existence of fairies,Plot
based on one of shakespeare s plays,Origin
about a danish prince who goes crazy when his mother marries his uncle,Plot
adventures of a group of people who go back in time with the use of a pool staple,Plot
remake,Relationship
a teenage boy fighting against the vampire who has moved in next door to him,Plot
cartoon movie,Genre
bear a piglet an owl and a kangaroo,Plot
bear pig donkey rabbit own and kangaroo,Plot
1957,Year
epic film,Genre
sir alec guiness,Actor
oscar,Award
best leading role,Award
2010,Year
three dimensional computer animated fantasy,Genre
gerard butler,Actor
craig ferguson,Actor
based on the book of the same name,Origin
james stewart,Actor
main character goes to washington dc and gives some powerful speech in court,Plot
2009,Year
slasher,Genre
kane hodder,Actor
about seeing aliens,Plot
1980,Year
1980 s,Year
classic,Opinion
cult film,Genre
a group of teens who go to a cabin in the woods and find themselves fighting off zombies,Plot
matt damon,Actor
a group of people that control people s destinies and who tried to stop,Plot
damon,Actor
character from becoming romantically involved with,Plot
emily blunt,Actor
crime,Genre
richard gere,Actor
wesley snipes,Actor
60 s,Year
a green villain took all the joy from christmas or at least wanted to,Plot
2010,Year
david o russell,Director
melissa leo,Actor
acadamy award,Award
2011,Year
american action comedy,Genre
jesse eisenberg,Actor
pizza delivery driver,Plot
heath ledger,Actor
jake gyllenhal,Actor
as two friends from out west who develop a complex and intimate relationship together,Plot
2010,Year
will ferrell,Actor
mark wahlberg,Actor
a pair of incompatible police detectives,Plot
disney animated,Genre
classic,Opinion
the story of a beautiful girl who is being hunted by an evil queen,Plot
a deformed baby is abandoned at a church as a baby and he grows up ringing bells,Plot
a man transforms into a big shaggy sheep dog,Plot
martin scorsese,Director
modern,Genre
classic,Opinion
jodie foster,Actor
child prostitute,Plot
famous,Opinion
battle between the montagues and the capulets gardens,Plot
classic live action children,Genre
story of a boy who wins a golden ticket to go on a sweet tour,Plot
art film,Genre
fellini,Director
multiple scenes with women and dances and costumes,Plot
i speak for the trees,Quote
a children s book,Origin
animated,Genre
mike myers,Actor
young boy who finds out that he is the son of poseidon and has to recover zeus lightning bolt,Plot
about a heroic young wizard,Plot
2012,Year
set in 1987 la dealing with the plot of a popular karaoke journey song,Plot
animated,Genre
a clownfish seeking his father and his friends with the help of some comedic sea creatures,Plot
animation,Genre
james cameron,Director
zoe saldana,Actor
ren e zellweger,Actor
social worker fights to save a girl from her abusive parents only to discover that the situation is more dangerous than she ever expected,Plot
2009,Year
thriller,Genre
romantic drama,Genre
history s most celebrated playwright,Opinion
gwyneth paltrow,Actor
he conceives the tale of,Plot
romeo,Character_Name
and,Plot
juliet,Character_Name
large,Plot
jack black,Actor
is attacked by small people,Plot
kevin cosner,Actor
treasury agent,Plot
sean connery,Actor
chicago police officer that team up to take on,Plot
al capone,Character_Name
zachary levy,Actor
mandy moore,Actor
animated,Genre
